p_value,timing
7.852047460783069255e-01,2.674341201782226562e-03
4.373146561902103713e-01,2.304792404174804688e-03
3.179140013144206023e-01,2.304315567016601562e-03
6.820859986855793977e-01,2.628087997436523438e-03
5.626853438097896287e-01,3.907918930053710938e-03
6.820859986855793977e-01,6.742715835571289062e-03
6.820859986855793977e-01,2.764844894409179688e-02
5.626853438097896287e-01,5.096235275268554688e-01
2.147952539216930745e-01,7.777214050292968750e-04
8.294501687487354502e-03,9.348392486572265625e-04
1.923865414210013114e-02,1.229047775268554688e-03
3.397741274966392666e-04,2.208471298217773438e-03
1.110716886614682153e-03,3.273248672485351562e-03
1.110716886614682153e-03,5.783081054687500000e-03
3.213288047845708206e-03,2.621531486511230469e-02
3.213288047845708206e-03,4.832413196563720703e-01
7.692997208141605370e-02,9.069442749023437500e-04
7.692997208141605370e-02,1.066923141479492188e-03
5.626853438097896287e-01,1.265525817871093750e-03
2.147952539216930745e-01,1.913785934448242188e-03
2.147952539216930745e-01,2.733945846557617188e-03
2.147952539216930745e-01,4.606246948242187500e-03
1.340936255273845745e-01,2.191758155822753906e-02
1.340936255273845745e-01,4.843103885650634766e-01
1.340936255273845745e-01,9.109973907470703125e-04
5.626853438097896287e-01,8.177757263183593750e-04
7.852047460783069255e-01,1.069068908691406250e-03
5.626853438097896287e-01,2.034664154052734375e-03
6.820859986855793977e-01,3.230333328247070312e-03
5.626853438097896287e-01,5.760431289672851562e-03
6.820859986855793977e-01,2.626967430114746094e-02
6.820859986855793977e-01,4.914267063140869141e-01
6.820859986855793977e-01,7.193088531494140625e-04
3.179140013144206023e-01,8.432865142822265625e-04
4.373146561902103713e-01,1.041650772094726562e-03
2.147952539216930745e-01,2.001047134399414062e-03
5.626853438097896287e-01,2.901554107666015625e-03
5.626853438097896287e-01,5.329132080078125000e-03
4.373146561902103713e-01,2.389478683471679688e-02
4.373146561902103713e-01,4.780673980712890625e-01
5.626853438097896287e-01,6.504058837890625000e-04
5.626853438097896287e-01,8.888244628906250000e-04
1.340936255273845745e-01,1.222133636474609375e-03
