p_value,timing
8.684120178222656250e-01,2.104282379150390625e-03
7.482776641845703125e-01,1.782655715942382812e-03
5.880985260009765625e-01,1.603126525878906250e-03
7.482776641845703125e-01,2.745151519775390625e-03
5.880985260009765625e-01,4.234790802001953125e-03
5.880985260009765625e-01,5.998373031616210938e-03
5.880985260009765625e-01,2.381205558776855469e-02
5.880985260009765625e-01,4.857583045959472656e-01
2.517223358154296875e-01,5.345344543457031250e-04
5.765914916992187500e-02,6.697177886962890625e-04
1.315879821777343750e-01,9.295940399169921875e-04
1.315879821777343750e-01,2.058982849121093750e-03
1.315879821777343750e-01,2.941131591796875000e-03
1.315879821777343750e-01,5.367279052734375000e-03
1.315879821777343750e-01,2.451229095458984375e-02
1.315879821777343750e-01,4.491693973541259766e-01
4.119014739990234375e-01,4.653930664062500000e-04
5.765914916992187500e-02,5.786418914794921875e-04
2.517223358154296875e-01,8.280277252197265625e-04
2.517223358154296875e-01,1.734972000122070312e-03
2.517223358154296875e-01,2.572059631347656250e-03
1.315879821777343750e-01,4.710197448730468750e-03
2.517223358154296875e-01,2.198624610900878906e-02
2.517223358154296875e-01,4.325635433197021484e-01
7.482776641845703125e-01,7.686614990234375000e-04
9.940910339355468750e-01,5.905628204345703125e-04
9.940910339355468750e-01,8.404254913330078125e-04
9.793052673339843750e-01,1.725196838378906250e-03
9.940910339355468750e-01,2.556324005126953125e-03
9.940910339355468750e-01,4.704952239990234375e-03
9.940910339355468750e-01,2.212977409362792969e-02
9.987115859985351562e-01,4.451668262481689453e-01
5.880985260009765625e-01,5.455017089843750000e-04
7.482776641845703125e-01,7.526874542236328125e-04
4.119014739990234375e-01,1.077890396118164062e-03
4.119014739990234375e-01,2.141952514648437500e-03
4.119014739990234375e-01,3.210544586181640625e-03
4.119014739990234375e-01,5.907773971557617188e-03
2.517223358154296875e-01,2.424025535583496094e-02
2.517223358154296875e-01,4.572343826293945312e-01
2.517223358154296875e-01,5.531311035156250000e-04
8.684120178222656250e-01,5.900859832763671875e-04
7.482776641845703125e-01,8.256435394287109375e-04
8.684120178222656250e-01,1.708745956420898438e-03
8.684120178222656250e-01,2.554178237915039062e-03
8.684120178222656250e-01,4.701137542724609375e-03
8.684120178222656250e-01,2.180600166320800781e-02
8.684120178222656250e-01,4.467413425445556641e-01
5.880985260009765625e-01,4.374980926513671875e-04
4.119014739990234375e-01,5.745887756347656250e-04
1.315879821777343750e-01,8.358955383300781250e-04
5.880985260009765625e-01,1.715183258056640625e-03
7.482776641845703125e-01,2.557039260864257812e-03
4.119014739990234375e-01,4.702806472778320312e-03
5.880985260009765625e-01,2.186250686645507812e-02
5.880985260009765625e-01,4.294312000274658203e-01
9.423408508300781250e-01,4.231929779052734375e-04
4.119014739990234375e-01,5.795955657958984375e-04
5.880985260009765625e-01,8.218288421630859375e-04
7.482776641845703125e-01,1.720428466796875000e-03
5.880985260009765625e-01,2.541065216064453125e-03
5.880985260009765625e-01,4.693508148193359375e-03
5.880985260009765625e-01,2.183651924133300781e-02
5.880985260009765625e-01,4.481477737426757812e-01
2.517223358154296875e-01,4.274845123291015625e-04
2.517223358154296875e-01,5.705356597900390625e-04
4.119014739990234375e-01,8.203983306884765625e-04
4.119014739990234375e-01,1.710653305053710938e-03
4.119014739990234375e-01,2.539634704589843750e-03
4.119014739990234375e-01,4.693031311035156250e-03
2.517223358154296875e-01,2.204036712646484375e-02
4.119014739990234375e-01,4.283697605133056641e-01
2.517223358154296875e-01,5.056858062744140625e-04
7.482776641845703125e-01,5.857944488525390625e-04
4.119014739990234375e-01,8.375644683837890625e-04
4.119014739990234375e-01,1.703739166259765625e-03
