p_value,timing
7.852047460783069255e-01,2.134084701538085938e-03
4.373146561902103713e-01,2.163648605346679688e-03
3.179140013144206023e-01,2.258300781250000000e-03
6.820859986855793977e-01,4.528522491455078125e-03
5.626853438097896287e-01,3.807783126831054688e-03
6.820859986855793977e-01,6.556749343872070312e-03
6.820859986855793977e-01,3.069043159484863281e-02
5.626853438097896287e-01,8.352477550506591797e-01
2.147952539216930745e-01,9.000301361083984375e-04
8.294501687487354502e-03,1.064062118530273438e-03
1.923865414210013114e-02,1.427173614501953125e-03
3.397741274966392666e-04,4.134893417358398438e-03
1.110716886614682153e-03,6.711244583129882812e-03
1.110716886614682153e-03,1.192426681518554688e-02
3.213288047845708206e-03,3.946757316589355469e-02
3.213288047845708206e-03,7.548830509185791016e-01
7.692997208141605370e-02,8.647441864013671875e-04
7.692997208141605370e-02,9.901523590087890625e-04
5.626853438097896287e-01,1.310110092163085938e-03
2.147952539216930745e-01,2.660274505615234375e-03
2.147952539216930745e-01,4.264116287231445312e-03
2.147952539216930745e-01,7.849693298339843750e-03
1.340936255273845745e-01,3.651857376098632812e-02
1.340936255273845745e-01,6.744072437286376953e-01
1.340936255273845745e-01,6.322860717773437500e-04
5.626853438097896287e-01,8.654594421386718750e-04
7.852047460783069255e-01,1.199960708618164062e-03
5.626853438097896287e-01,2.355098724365234375e-03
6.820859986855793977e-01,3.584623336791992188e-03
5.626853438097896287e-01,6.630659103393554688e-03
6.820859986855793977e-01,3.071951866149902344e-02
6.820859986855793977e-01,5.804347991943359375e-01
6.820859986855793977e-01,6.606578826904296875e-04
3.179140013144206023e-01,8.065700531005859375e-04
4.373146561902103713e-01,1.111030578613281250e-03
2.147952539216930745e-01,2.294063568115234375e-03
5.626853438097896287e-01,3.344297409057617188e-03
5.626853438097896287e-01,6.299257278442382812e-03
4.373146561902103713e-01,2.923226356506347656e-02
4.373146561902103713e-01,5.717563629150390625e-01
5.626853438097896287e-01,6.124973297119140625e-04
5.626853438097896287e-01,9.114742279052734375e-04
1.340936255273845745e-01,1.083850860595703125e-03
3.179140013144206023e-01,2.237081527709960938e-03
1.340936255273845745e-01,3.266811370849609375e-03
1.340936255273845745e-01,6.209850311279296875e-03
3.179140013144206023e-01,2.814865112304687500e-02
1.340936255273845745e-01,5.563974380493164062e-01
8.659063744726154255e-01,7.290840148925781250e-04
5.626853438097896287e-01,8.492469787597656250e-04
5.626853438097896287e-01,1.065969467163085938e-03
5.626853438097896287e-01,2.383708953857421875e-03
5.626853438097896287e-01,3.591775894165039062e-03
3.179140013144206023e-01,6.065607070922851562e-03
5.626853438097896287e-01,2.871608734130859375e-02
4.373146561902103713e-01,5.893542766571044922e-01
5.626853438097896287e-01,9.908676147460937500e-04
5.626853438097896287e-01,1.062870025634765625e-03
5.626853438097896287e-01,1.487255096435546875e-03
4.373146561902103713e-01,2.955675125122070312e-03
5.626853438097896287e-01,4.276514053344726562e-03
4.373146561902103713e-01,7.997035980224609375e-03
4.373146561902103713e-01,3.736233711242675781e-02
4.373146561902103713e-01,5.580151081085205078e-01
5.626853438097896287e-01,5.834102630615234375e-04
1.923865414210013114e-02,7.672309875488281250e-04
1.923865414210013114e-02,1.072406768798828125e-03
7.692997208141605370e-02,2.107858657836914062e-03
8.294501687487354502e-03,3.314733505249023438e-03
8.294501687487354502e-03,5.982160568237304688e-03
1.923865414210013114e-02,2.797222137451171875e-02
1.923865414210013114e-02,5.829093456268310547e-01
4.373146561902103713e-01,8.101463317871093750e-04
4.373146561902103713e-01,8.711814880371093750e-04
5.626853438097896287e-01,1.157283782958984375e-03
3.179140013144206023e-01,3.389596939086914062e-03
3.179140013144206023e-01,3.551959991455078125e-03
2.147952539216930745e-01,6.469249725341796875e-03
3.179140013144206023e-01,3.031301498413085938e-02
2.147952539216930745e-01,5.042722225189208984e-01
8.659063744726154255e-01,8.695125579833984375e-04
2.147952539216930745e-01,1.015663146972656250e-03
8.294501687487354502e-03,1.048803329467773438e-03
7.692997208141605370e-02,1.954793930053710938e-03
7.692997208141605370e-02,3.245830535888671875e-03
1.340936255273845745e-01,5.854368209838867188e-03
7.692997208141605370e-02,2.669835090637207031e-02
7.692997208141605370e-02,4.656977653503417969e-01
4.373146561902103713e-01,5.896091461181640625e-04
3.179140013144206023e-01,7.743835449218750000e-04
3.179140013144206023e-01,1.014709472656250000e-03
7.692997208141605370e-02,1.980304718017578125e-03
1.340936255273845745e-01,2.890348434448242188e-03
2.147952539216930745e-01,5.254507064819335938e-03
1.340936255273845745e-01,2.417182922363281250e-02
1.340936255273845745e-01,4.910647869110107422e-01
4.373146561902103713e-01,6.475448608398437500e-04
1.340936255273845745e-01,7.970333099365234375e-04
3.179140013144206023e-01,1.052856445312500000e-03
3.179140013144206023e-01,1.947879791259765625e-03
7.692997208141605370e-02,2.893924713134765625e-03
4.373146561902103713e-01,5.729198455810546875e-03
4.373146561902103713e-01,2.642440795898437500e-02
3.179140013144206023e-01,4.668350219726562500e-01
6.820859986855793977e-01,5.760192871093750000e-04
1.923865414210013114e-02,7.820129394531250000e-04
7.692997208141605370e-02,1.009702682495117188e-03
8.294501687487354502e-03,1.981496810913085938e-03
1.340936255273845745e-01,2.885580062866210938e-03
1.340936255273845745e-01,5.254745483398437500e-03
4.034523387599620037e-02,2.666544914245605469e-02
1.340936255273845745e-01,4.913733005523681641e-01
4.034523387599620037e-02,6.134510040283203125e-04
7.692997208141605370e-02,8.373260498046875000e-04
4.034523387599620037e-02,1.095056533813476562e-03
4.034523387599620037e-02,2.144336700439453125e-03
4.034523387599620037e-02,3.223657608032226562e-03
1.923865414210013114e-02,5.820274353027343750e-03
7.692997208141605370e-02,2.673578262329101562e-02
7.692997208141605370e-02,4.946820735931396484e-01
1.340936255273845745e-01,9.732246398925781250e-04
7.692997208141605370e-02,7.913112640380859375e-04
4.034523387599620037e-02,1.054763793945312500e-03
4.034523387599620037e-02,2.006053924560546875e-03
1.923865414210013114e-02,2.904415130615234375e-03
8.294501687487354502e-03,5.713224411010742188e-03
8.294501687487354502e-03,2.646064758300781250e-02
3.213288047845708206e-03,4.770460128784179688e-01
9.596547661240037996e-01,6.277561187744140625e-04
7.852047460783069255e-01,7.891654968261718750e-04
6.820859986855793977e-01,1.013755798339843750e-03
5.626853438097896287e-01,2.150058746337890625e-03
5.626853438097896287e-01,3.207683563232421875e-03
7.852047460783069255e-01,5.843400955200195312e-03
7.852047460783069255e-01,2.688002586364746094e-02
7.852047460783069255e-01,4.950172901153564453e-01
5.626853438097896287e-01,6.153583526611328125e-04
4.373146561902103713e-01,7.767677307128906250e-04
4.373146561902103713e-01,1.112699508666992188e-03
4.373146561902103713e-01,2.168655395507812500e-03
6.820859986855793977e-01,3.213644027709960938e-03
6.820859986855793977e-01,5.883216857910156250e-03
6.820859986855793977e-01,2.676725387573242188e-02
5.626853438097896287e-01,4.935588836669921875e-01
7.852047460783069255e-01,8.931159973144531250e-04
9.596547661240037996e-01,7.877349853515625000e-04
6.820859986855793977e-01,1.079320907592773438e-03
3.179140013144206023e-01,2.010822296142578125e-03
