p_value,timing
7.041295870412959124e-01,6.210882663726806641e-01
7.052294770522947731e-01,1.658034324645996094e-02
7.564243575642435324e-01,1.131932473182678223e+01
5.880985260009765625e-01,1.873254776000976562e-03
6.621503642104042964e-01,3.545045852661132812e-03
6.671499432920717787e-01,3.226995468139648438e-03
2.296770322967703337e-01,2.946486473083496094e-01
2.511748825117487982e-01,9.140968322753906250e-03
1.715828417158284103e-01,1.141375017166137695e+01
5.765914916992187500e-02,1.941919326782226562e-03
2.849945438443524659e-01,3.436326980590820312e-03
2.446565161550241507e-01,3.246307373046875000e-03
7.009299070092990525e-02,2.924294471740722656e-01
6.569343065693430961e-02,9.408235549926757812e-03
9.959004099590040848e-02,1.050091958045959473e+01
1.315879821777343750e-01,1.447439193725585938e-03
1.293116761554210514e-01,3.220319747924804688e-03
6.927646846915883061e-02,3.124713897705078125e-03
8.550144985501449968e-01,2.936770915985107422e-01
8.372162783721628365e-01,8.658409118652343750e-03
8.262173782621737850e-01,1.070817351341247559e+01
9.423408508300781250e-01,1.821756362915039062e-03
6.003658140246481700e-01,3.415346145629882812e-03
8.152438008101595690e-01,3.248691558837890625e-03
3.883611638836116375e-01,2.961463928222656250e-01
3.775622437756224192e-01,9.301900863647460938e-03
1.897810218978102093e-01,1.227859592437744141e+01
2.517223358154296875e-01,2.015352249145507812e-03
4.081376349578166862e-01,3.723859786987304688e-03
3.676056495300251692e-01,5.187273025512695312e-03
5.479452054794520244e-01,3.288881778717041016e-01
5.297470252974701976e-01,1.040673255920410156e-02
5.556444355564443827e-01,1.419650983810424805e+01
7.482776641845703125e-01,2.797126770019531250e-03
4.918779157786675738e-01,5.256891250610351562e-03
5.232652808146416312e-01,4.870653152465820312e-03
8.074192580741925696e-01,4.522633552551269531e-01
8.116188381161884013e-01,1.291465759277343750e-02
7.820217978202179676e-01,1.602656006813049316e+01
5.880985260009765625e-01,1.930236816406250000e-03
7.751592183730033891e-01,4.791975021362304688e-03
8.441083964854221300e-01,4.775047302246093750e-03
2.942705729427057548e-01,4.482529163360595703e-01
3.062693730626937505e-01,1.250052452087402344e-02
3.373662633736626559e-01,1.530746221542358398e+01
4.119014739990234375e-01,2.416610717773437500e-03
4.190068292720836585e-01,4.971504211425781250e-03
2.869196763400457817e-01,4.759788513183593750e-03
1.529847015298470281e-01,4.395806789398193359e-01
1.597840215978402201e-01,1.291346549987792969e-02
4.547545245475452247e-01,1.433889365196228027e+01
4.119014739990234375e-01,1.497745513916015625e-03
1.770250303738679087e-01,3.590822219848632812e-03
1.211700442069009176e-01,3.538131713867187500e-03
1.607839216078392197e-01,3.262822628021240234e-01
1.623837616238376080e-01,1.007509231567382812e-02
3.378662133786621280e-01,1.446914029121398926e+01
4.119014739990234375e-01,1.729011535644531250e-03
2.244613908964750992e-01,4.754304885864257812e-03
1.358672189355025761e-01,4.738092422485351562e-03
6.014398560143985328e-01,4.451880455017089844e-01
6.140385961403859172e-01,1.237249374389648438e-02
5.826417358264173174e-01,1.384592342376708984e+01
5.880985260009765625e-01,1.398801803588867188e-03
5.781110060983775112e-01,3.378868103027343750e-03
5.363385312746143940e-01,3.320693969726562500e-03
7.247275272472752938e-01,3.130884170532226562e-01
7.402259774022598160e-01,9.093284606933593750e-03
6.666333366663333981e-01,1.330687379837036133e+01
4.119014739990234375e-01,2.225875854492187500e-03
7.485356373299536514e-01,4.404783248901367188e-03
6.549669227362239221e-01,4.223108291625976562e-03
7.207279272072792953e-01,3.965594768524169922e-01
7.125287471252874649e-01,1.139068603515625000e-02
7.816218378162184122e-01,1.070877361297607422e+01
9.423408508300781250e-01,1.193761825561523438e-03
6.338891781113119572e-01,3.219366073608398438e-03
7.146254538120017097e-01,3.216266632080078125e-03
8.389161083891610859e-01,2.933194637298583984e-01
8.420157984201579460e-01,8.731365203857421875e-03
8.277172282771723122e-01,1.027652907371520996e+01
9.423408508300781250e-01,1.281023025512695312e-03
7.754843580071406617e-01,3.219604492187500000e-03
7.715621218830688299e-01,3.151178359985351562e-03
6.173382661733826104e-01,2.888798713684082031e-01
6.401359864013598244e-01,8.562088012695312500e-03
5.007499250074992636e-01,1.031809210777282715e+01
2.517223358154296875e-01,1.194000244140625000e-03
5.447828621043794284e-01,3.159284591674804688e-03
6.586550446310092122e-01,3.119707107543945312e-03
1.272872712728727040e-01,2.965252399444580078e-01
1.370862913708629227e-01,8.524894714355468750e-03
1.338866113388661183e-01,1.109319210052490234e+01
5.765914916992187500e-02,1.378536224365234375e-03
1.465901530634837746e-01,3.587484359741210938e-03
