p_value,timing
1.000000000000000000e+00,2.390221595764160156e+00
1.000000000000000000e+00,1.339955329895019531e-01
1.000000000000000000e+00,1.517370581626892090e+01
8.684120178222656250e-01,1.318302154541015625e-01
5.000000000000000000e-01,1.408584117889404297e-01
5.000000000000000000e-01,1.425209045410156250e-01
6.990300969903009420e-01,2.252364873886108398e+00
6.961303869613039152e-01,1.347260475158691406e-01
5.727427257274272376e-01,1.548143911361694336e+01
5.880985260009765625e-01,1.318080425262451172e-01
7.252124038520315619e-01,1.416063308715820312e-01
7.268269544370437041e-01,1.420722007751464844e-01
1.779822017798220191e-02,2.235429048538208008e+00
1.579842015798420263e-02,1.335377693176269531e-01
2.209779022097790174e-02,1.538508033752441406e+01
5.908966064453125000e-03,1.275405883789062500e-01
3.114813914458275032e-02,1.409640312194824219e-01
1.612192873527190998e-02,1.674730777740478516e-01
1.000000000000000000e+00,2.230421781539916992e+00
1.000000000000000000e+00,1.318373680114746094e-01
1.000000000000000000e+00,1.553384208679199219e+01
8.684120178222656250e-01,1.301987171173095703e-01
5.000000000000000000e-01,1.408126354217529297e-01
5.000000000000000000e-01,1.410231590270996094e-01
1.000000000000000000e+00,2.174659013748168945e+00
1.000000000000000000e+00,1.340117454528808594e-01
1.000000000000000000e+00,1.511774992942810059e+01
8.684120178222656250e-01,1.284785270690917969e-01
5.000000000000000000e-01,1.411006450653076172e-01
5.000000000000000000e-01,1.415159702301025391e-01
1.000000000000000000e+00,2.844489336013793945e+00
1.000000000000000000e+00,2.033114433288574219e-01
1.000000000000000000e+00,1.906361532211303711e+01
8.684120178222656250e-01,1.280653476715087891e-01
5.000000000000000000e-01,1.415085792541503906e-01
5.000000000000000000e-01,1.416771411895751953e-01
1.000000000000000000e+00,2.202709674835205078e+00
1.000000000000000000e+00,1.335818767547607422e-01
1.000000000000000000e+00,1.519127488136291504e+01
8.684120178222656250e-01,2.123618125915527344e-01
5.000000000000000000e-01,2.299702167510986328e-01
5.000000000000000000e-01,2.257418632507324219e-01
1.000000000000000000e+00,3.382359743118286133e+00
1.000000000000000000e+00,2.150688171386718750e-01
1.000000000000000000e+00,2.613254237174987793e+01
8.684120178222656250e-01,2.093312740325927734e-01
5.000000000000000000e-01,2.255125045776367188e-01
5.000000000000000000e-01,2.312719821929931641e-01
1.799820017998200045e-02,3.371205091476440430e+00
1.799820017998200045e-02,2.165610790252685547e-01
9.269073092690731375e-02,1.735963106155395508e+01
7.482776641845703125e-01,1.309132575988769531e-01
2.316456796536900953e-01,1.431927680969238281e-01
2.213282002737147758e-02,1.437759399414062500e-01
1.000000000000000000e+00,2.205885410308837891e+00
1.000000000000000000e+00,1.324989795684814453e-01
1.000000000000000000e+00,1.595316362380981445e+01
8.684120178222656250e-01,1.266295909881591797e-01
5.000000000000000000e-01,1.389200687408447266e-01
5.000000000000000000e-01,1.399476528167724609e-01
9.725027497250274822e-01,2.347944974899291992e+00
9.684031596840315670e-01,2.009842395782470703e-01
9.570042995700429600e-01,2.372592902183532715e+01
2.517223358154296875e-01,1.968026161193847656e-01
9.468968756246478602e-01,2.172253131866455078e-01
9.822977066226326048e-01,2.110128402709960938e-01
1.000000000000000000e+00,3.131431818008422852e+00
1.000000000000000000e+00,1.992726325988769531e-01
1.000000000000000000e+00,1.824526309967041016e+01
8.684120178222656250e-01,1.296265125274658203e-01
5.000000000000000000e-01,1.402356624603271484e-01
5.000000000000000000e-01,1.409237384796142578e-01
1.000000000000000000e+00,2.151561737060546875e+00
1.000000000000000000e+00,1.302762031555175781e-01
1.000000000000000000e+00,1.489452171325683594e+01
8.684120178222656250e-01,1.267647743225097656e-01
5.000000000000000000e-01,1.394309997558593750e-01
5.000000000000000000e-01,1.398596763610839844e-01
1.000000000000000000e+00,2.161311388015747070e+00
1.000000000000000000e+00,1.313850879669189453e-01
1.000000000000000000e+00,1.484564518928527832e+01
8.684120178222656250e-01,1.280300617218017578e-01
5.000000000000000000e-01,1.406660079956054688e-01
5.000000000000000000e-01,1.414339542388916016e-01
1.000000000000000000e+00,2.160417795181274414e+00
1.000000000000000000e+00,1.311466693878173828e-01
1.000000000000000000e+00,1.496822810173034668e+01
8.684120178222656250e-01,1.304841041564941406e-01
5.000000000000000000e-01,1.407186985015869141e-01
5.000000000000000000e-01,1.434075832366943359e-01
1.000000000000000000e+00,2.159004211425781250e+00
1.000000000000000000e+00,1.306302547454833984e-01
1.000000000000000000e+00,1.481221508979797363e+01
8.684120178222656250e-01,1.276919841766357422e-01
5.000000000000000000e-01,1.402342319488525391e-01
5.000000000000000000e-01,1.413636207580566406e-01
1.000000000000000000e+00,2.163487195968627930e+00
1.000000000000000000e+00,1.315178871154785156e-01
1.000000000000000000e+00,1.839535641670227051e+01
8.684120178222656250e-01,2.180175781250000000e-01
5.000000000000000000e-01,2.420194149017333984e-01
5.000000000000000000e-01,2.408912181854248047e-01
1.000000000000000000e+00,3.471597194671630859e+00
1.000000000000000000e+00,2.230317592620849609e-01
1.000000000000000000e+00,1.944288587570190430e+01
8.684120178222656250e-01,1.572172641754150391e-01
5.000000000000000000e-01,1.415383815765380859e-01
5.000000000000000000e-01,1.424589157104492188e-01
1.069893010698930169e-01,2.190770626068115234e+00
1.138886111388861117e-01,1.325678825378417969e-01
6.049395060493950593e-02,1.513286042213439941e+01
4.119014739990234375e-01,1.278123855590820312e-01
2.145748077629333617e-01,1.397442817687988281e-01
1.174932431882352857e-01,1.401453018188476562e-01
7.431256874312568428e-01,2.225858688354492188e+00
7.312268773122687637e-01,1.321818828582763672e-01
6.419358064193581015e-01,1.512342548370361328e+01
7.482776641845703125e-01,1.541936397552490234e-01
5.770352703852658083e-01,1.401684284210205078e-01
7.074334999299604076e-01,1.418793201446533203e-01
1.000000000000000000e+00,2.203957796096801758e+00
1.000000000000000000e+00,1.322195529937744141e-01
