p_value,timing
7.041295870412959124e-01,7.040967941284179688e-01
7.052294770522947731e-01,1.611351966857910156e-02
7.564243575642435324e-01,1.522574806213378906e+01
5.880985260009765625e-01,2.162694931030273438e-03
6.638713015876065437e-01,5.544424057006835938e-03
6.733020576126373946e-01,5.097627639770507812e-03
2.295770422957704171e-01,4.667568206787109375e-01
2.506749325067493261e-01,1.213765144348144531e-02
1.641835816418358296e-01,1.449040222167968750e+01
2.517223358154296875e-01,1.517772674560546875e-03
2.346935827511894002e-01,5.011796951293945312e-03
2.354251282582673355e-01,4.773378372192382812e-03
6.389361063893610193e-02,4.397726058959960938e-01
6.969303069693030817e-02,1.123046875000000000e-02
1.005899410058994081e-01,1.442243742942810059e+01
5.765914916992187500e-02,9.443759918212890625e-04
8.918969899588952144e-02,4.638195037841796875e-03
5.625886609091961671e-02,4.575967788696289062e-03
8.554144585541445522e-01,4.200701713562011719e-01
8.398160183981602245e-01,1.091289520263671875e-02
8.218178182181782310e-01,1.327020955085754395e+01
9.793052673339843750e-01,1.006126403808593750e-03
5.932828753993182325e-01,4.646539688110351562e-03
8.263882188357609682e-01,5.780220031738281250e-03
3.724627537246275599e-01,4.143223762512207031e-01
3.831616838316168616e-01,1.011180877685546875e-02
1.800819918008199072e-01,1.329425907135009766e+01
2.517223358154296875e-01,9.303092956542968750e-04
3.561368083346442281e-01,4.633188247680664062e-03
3.566570431848704592e-01,4.587411880493164062e-03
5.386461353864613333e-01,4.210896492004394531e-01
5.280471952804719482e-01,1.018428802490234375e-02
5.462453754624537750e-01,1.368892407417297363e+01
5.880985260009765625e-01,1.504182815551757812e-03
5.302913756611039586e-01,4.816770553588867188e-03
5.447636535791179346e-01,4.571676254272460938e-03
8.087191280871912635e-01,4.241657257080078125e-01
8.133186681331866508e-01,1.063990592956542969e-02
7.768223177682231917e-01,1.420527195930480957e+01
7.482776641845703125e-01,9.846687316894531250e-04
7.820394139357202956e-01,5.148649215698242188e-03
7.861151167445317167e-01,5.056381225585937500e-03
3.001699830016998360e-01,4.641501903533935547e-01
3.062693730626937505e-01,1.165795326232910156e-02
3.265673432656734376e-01,1.489997029304504395e+01
7.482776641845703125e-01,9.853839874267578125e-04
4.309230075974601060e-01,5.133390426635742188e-03
2.566798335859794555e-01,5.091190338134765625e-03
1.527847215278472226e-01,4.641885757446289062e-01
1.577842215778422208e-01,1.163339614868164062e-02
4.587541245875412232e-01,1.501595473289489746e+01
2.517223358154296875e-01,9.927749633789062500e-04
2.130624467444095504e-01,5.122900009155273438e-03
1.679874729672396483e-01,5.078077316284179688e-03
1.535846415358464168e-01,4.665646553039550781e-01
1.624837516248375247e-01,1.166701316833496094e-02
3.505649435056494290e-01,1.499386501312255859e+01
5.880985260009765625e-01,1.605272293090820312e-03
2.715277339100033438e-01,5.347967147827148438e-03
1.198475244889837255e-01,5.087375640869140625e-03
6.080391960803919194e-01,4.532451629638671875e-01
6.032396760323968099e-01,1.148724555969238281e-02
5.812418758124187068e-01,1.583394169807434082e+01
5.880985260009765625e-01,1.005887985229492188e-03
5.919124889216135221e-01,5.170106887817382812e-03
5.409115272657487594e-01,5.165576934814453125e-03
7.219278072192780726e-01,4.650416374206542969e-01
7.419258074192580654e-01,1.168632507324218750e-02
6.682331766823317309e-01,1.502784562110900879e+01
2.517223358154296875e-01,9.567737579345703125e-04
6.922540656461738662e-01,4.963397979736328125e-03
7.102257928346524807e-01,5.066633224487304688e-03
7.168283171682832133e-01,4.488692283630371094e-01
7.181281871812819073e-01,1.107740402221679688e-02
7.847215278472152722e-01,1.410848546028137207e+01
5.880985260009765625e-01,9.298324584960937500e-04
6.928559831879239628e-01,4.926443099975585938e-03
7.233483408833688566e-01,4.710197448730468750e-03
8.407159284071592520e-01,4.426102638244628906e-01
8.438156184381562230e-01,1.105856895446777344e-02
8.333166683331666436e-01,1.397311019897460938e+01
9.423408508300781250e-01,1.471519470214843750e-03
7.513379856161895853e-01,4.848718643188476562e-03
8.341145317494357281e-01,4.520177841186523438e-03
6.222377762223777475e-01,4.218456745147705078e-01
6.395360463953604357e-01,1.037001609802246094e-02
5.032496750324967349e-01,1.320831823348999023e+01
2.517223358154296875e-01,8.943080902099609375e-04
6.318553096752860254e-01,4.539012908935546875e-03
6.201378007033192530e-01,4.605770111083984375e-03
1.269873012698730097e-01,4.174475669860839844e-01
1.428857114288571151e-01,1.001572608947753906e-02
1.318868113188681190e-01,1.430431127548217773e+01
