p_value,timing
7.041295870412959124e-01,3.461477756500244141e-01
7.052294770522947731e-01,1.044654846191406250e-02
7.564243575642435324e-01,1.179819703102111816e+01
5.880985260009765625e-01,2.295732498168945312e-03
6.621503642104042964e-01,4.068136215209960938e-03
6.671499432920717787e-01,3.685235977172851562e-03
2.296770322967703337e-01,3.291783332824707031e-01
2.511748825117487982e-01,1.027083396911621094e-02
1.715828417158284103e-01,1.180916142463684082e+01
5.765914916992187500e-02,2.043724060058593750e-03
2.849945438443524659e-01,4.023313522338867188e-03
2.446565161550241507e-01,3.616571426391601562e-03
7.009299070092990525e-02,3.346235752105712891e-01
6.569343065693430961e-02,1.016497611999511719e-02
9.959004099590040848e-02,1.258454608917236328e+01
1.315879821777343750e-01,1.900196075439453125e-03
1.293116761554210514e-01,3.756284713745117188e-03
6.927646846915883061e-02,3.557920455932617188e-03
8.550144985501449968e-01,3.297071456909179688e-01
8.372162783721628365e-01,1.017141342163085938e-02
8.262173782621737850e-01,1.185783553123474121e+01
9.423408508300781250e-01,1.469612121582031250e-03
6.003658140246481700e-01,3.611803054809570312e-03
8.152438008101595690e-01,3.525018692016601562e-03
3.883611638836116375e-01,3.328828811645507812e-01
3.775622437756224192e-01,1.036739349365234375e-02
1.897810218978102093e-01,1.164642786979675293e+01
2.517223358154296875e-01,1.874685287475585938e-03
4.081376349578166862e-01,3.663301467895507812e-03
3.676056495300251692e-01,3.459453582763671875e-03
5.479452054794520244e-01,3.167831897735595703e-01
5.297470252974701976e-01,9.708881378173828125e-03
5.556444355564443827e-01,1.333250975608825684e+01
7.482776641845703125e-01,1.634120941162109375e-03
4.918779157786675738e-01,3.938436508178710938e-03
5.232652808146416312e-01,3.879070281982421875e-03
8.074192580741925696e-01,3.488168716430664062e-01
8.116188381161884013e-01,9.919166564941406250e-03
7.820217978202179676e-01,1.330865693092346191e+01
5.880985260009765625e-01,1.405715942382812500e-03
7.751592183730033891e-01,3.383636474609375000e-03
8.441083964854221300e-01,3.251075744628906250e-03
2.942705729427057548e-01,3.031251430511474609e-01
3.062693730626937505e-01,8.917808532714843750e-03
3.373662633736626559e-01,1.205823874473571777e+01
4.119014739990234375e-01,3.677845001220703125e-03
4.190068292720836585e-01,6.071805953979492188e-03
2.869196763400457817e-01,5.908012390136718750e-03
1.529847015298470281e-01,5.913565158843994141e-01
1.597840215978402201e-01,8.795499801635742188e-03
4.547545245475452247e-01,1.319261145591735840e+01
4.119014739990234375e-01,2.170801162719726562e-03
1.770250303738679087e-01,4.098653793334960938e-03
1.211700442069009176e-01,3.823995590209960938e-03
1.607839216078392197e-01,3.533506393432617188e-01
1.623837616238376080e-01,1.073598861694335938e-02
3.378662133786621280e-01,1.593351578712463379e+01
4.119014739990234375e-01,2.457380294799804688e-03
2.244613908964750992e-01,5.097866058349609375e-03
1.358672189355025761e-01,4.728317260742187500e-03
6.014398560143985328e-01,4.505445957183837891e-01
6.140385961403859172e-01,1.101422309875488281e-02
5.826417358264173174e-01,1.636875820159912109e+01
5.880985260009765625e-01,5.144357681274414062e-03
5.781110060983775112e-01,7.584095001220703125e-03
5.363385312746143940e-01,5.953073501586914062e-03
7.247275272472752938e-01,6.231596469879150391e-01
7.402259774022598160e-01,1.752805709838867188e-02
6.666333366663333981e-01,1.626052236557006836e+01
4.119014739990234375e-01,1.822710037231445312e-03
7.485356373299536514e-01,4.830598831176757812e-03
6.549669227362239221e-01,4.744529724121093750e-03
7.207279272072792953e-01,4.475364685058593750e-01
7.125287471252874649e-01,1.056909561157226562e-02
7.816218378162184122e-01,1.587206172943115234e+01
9.423408508300781250e-01,2.241849899291992188e-03
6.338891781113119572e-01,4.938364028930664062e-03
7.146254538120017097e-01,4.767179489135742188e-03
8.389161083891610859e-01,4.535365104675292969e-01
8.420157984201579460e-01,1.223206520080566406e-02
8.277172282771723122e-01,1.588158226013183594e+01
9.423408508300781250e-01,2.191543579101562500e-03
7.754843580071406617e-01,4.968881607055664062e-03
7.715621218830688299e-01,4.771471023559570312e-03
6.173382661733826104e-01,4.511098861694335938e-01
6.401359864013598244e-01,1.063394546508789062e-02
5.007499250074992636e-01,1.509441184997558594e+01
2.517223358154296875e-01,2.089738845825195312e-03
