p_value,timing
7.181281871812819073e-01,5.294818878173828125e-01
6.969303069693030261e-01,2.430343627929687500e-02
6.248375162483751355e-01,1.606538319587707520e+01
3.179140013144206023e-01,2.743721008300781250e-03
6.914463175854883570e-01,4.823923110961914062e-03
7.875092059880750561e-01,4.476070404052734375e-03
2.199780021997800421e-03,4.069716930389404297e-01
3.299670032996700197e-03,2.356386184692382812e-02
8.099190080991901589e-03,1.473876380920410156e+01
8.294501687487354502e-03,2.531766891479492188e-03
8.205823547963600820e-03,4.738092422485351562e-03
4.895438889181522035e-03,4.568338394165039062e-03
1.529847015298470107e-02,4.104051589965820312e-01
2.049795020497950301e-02,2.343440055847167969e-02
6.099390060993900575e-03,1.471925592422485352e+01
8.294501687487354502e-03,2.625226974487304688e-03
8.061384850161988982e-03,4.778385162353515625e-03
1.727960013545651319e-02,4.578351974487304688e-03
7.589241075892411148e-02,4.151132106781005859e-01
7.499250074992500070e-02,2.354693412780761719e-02
6.329367063293671325e-02,1.501585698127746582e+01
4.034523387599620037e-02,2.627134323120117188e-03
1.869270350611973441e-01,4.816055297851562500e-03
1.080145230242955945e-01,4.692077636718750000e-03
6.249375062493750521e-01,4.227075576782226562e-01
6.279372062793721065e-01,2.368640899658203125e-02
7.523247675232477283e-01,1.494237208366394043e+01
6.820859986855793977e-01,2.647399902343750000e-03
5.743778552370963908e-01,4.946470260620117188e-03
6.498904957346349764e-01,4.630088806152343750e-03
8.060193980601939590e-01,4.247729778289794922e-01
8.139186081391860395e-01,2.363848686218261719e-02
7.360263973602639842e-01,1.531947588920593262e+01
7.852047460783069255e-01,2.622127532958984375e-03
6.519525564934351980e-01,4.856109619140625000e-03
8.101555445932243638e-01,4.586458206176757812e-03
7.295270472952705143e-01,4.434423446655273438e-01
7.260273972602739878e-01,2.357101440429687500e-02
6.299370062993701058e-01,1.503230977058410645e+01
7.852047460783069255e-01,1.910209655761718750e-03
6.468156749946678552e-01,4.566192626953125000e-03
7.935886853735534263e-01,4.506587982177734375e-03
4.461553844615538389e-01,4.140985012054443359e-01
4.997500249975002640e-01,2.285599708557128906e-02
5.653434656534346292e-01,1.458828854560852051e+01
7.852047460783069255e-01,2.579212188720703125e-03
4.984627865511993550e-01,4.793882369995117188e-03
4.239274799801832083e-01,4.575967788696289062e-03
2.789721027897210104e-01,4.166080951690673828e-01
2.786721327867213160e-01,2.333402633666992188e-02
1.913808619138086253e-01,1.465188384056091309e+01
1.340936255273845745e-01,2.585649490356445312e-03
2.752356550674973090e-01,4.785537719726562500e-03
2.495012793646673166e-01,4.612445831298828125e-03
5.794420557944205408e-01,4.224617481231689453e-01
5.764423557644235974e-01,2.344703674316406250e-02
4.917508249175082669e-01,1.502571105957031250e+01
1.340936255273845745e-01,1.910209655761718750e-03
6.020965815961586420e-01,4.678487777709960938e-03
5.413496475245223039e-01,4.577875137329101562e-03
1.621837816218378026e-01,4.237341880798339844e-01
1.670832916708329119e-01,2.283239364624023438e-02
2.604739526047395448e-01,1.500427126884460449e+01
5.626853438097896287e-01,2.610683441162109375e-03
4.602804567063917274e-01,4.822969436645507812e-03
1.638580749203548681e-01,4.611730575561523438e-03
6.709329067093290633e-02,4.252955913543701172e-01
7.699230076992301386e-02,2.351880073547363281e-02
4.869513048695130186e-02,1.500019884109497070e+01
7.692997208141605370e-02,1.901626586914062500e-03
1.312492705312953145e-01,4.696130752563476562e-03
4.776867692891481609e-02,4.578590393066406250e-03
1.041895810418958096e-01,4.257838726043701172e-01
1.067893210678932114e-01,2.289319038391113281e-02
9.389061093890610499e-02,1.482663798332214355e+01
3.179140013144206023e-01,1.819849014282226562e-03
4.414197426720691264e-01,4.469394683837890625e-03
1.635319304844639610e-01,4.381418228149414062e-03
9.879012098790120877e-01,4.031500816345214844e-01
9.880011998800120043e-01,2.274131774902343750e-02
9.803019698030196460e-01,1.440049743652343750e+01
9.230700279185839463e-01,2.525329589843750000e-03
5.236131262306952250e-01,4.683017730712890625e-03
9.913246326792689578e-01,4.412174224853515625e-03
5.139486051394860366e-01,4.094030857086181641e-01
