p_value,timing
7.041295870412959124e-01,4.664945602416992188e-01
7.052294770522947731e-01,1.621150970458984375e-02
7.564243575642435324e-01,1.374361371994018555e+01
5.880985260009765625e-01,1.709222793579101562e-03
6.638713015876065437e-01,4.384994506835937500e-03
6.733020576126373946e-01,4.000186920166015625e-03
2.295770422957704171e-01,3.607881069183349609e-01
2.506749325067493261e-01,1.248598098754882812e-02
1.641835816418358296e-01,1.376317620277404785e+01
2.517223358154296875e-01,9.336471557617187500e-04
2.346935827511894002e-01,3.980636596679687500e-03
2.354251282582673355e-01,3.973722457885742188e-03
6.389361063893610193e-02,3.527352809906005859e-01
6.969303069693030817e-02,1.205825805664062500e-02
1.005899410058994081e-01,1.379330873489379883e+01
5.765914916992187500e-02,1.611471176147460938e-03
8.918969899588952144e-02,4.238843917846679688e-03
5.625886609091961671e-02,3.945589065551757812e-03
8.554144585541445522e-01,3.582849502563476562e-01
8.398160183981602245e-01,1.238369941711425781e-02
8.218178182181782310e-01,1.393002915382385254e+01
9.793052673339843750e-01,9.324550628662109375e-04
5.932828753993182325e-01,4.033327102661132812e-03
8.263882188357609682e-01,3.928184509277343750e-03
3.724627537246275599e-01,3.573970794677734375e-01
3.831616838316168616e-01,1.213645935058593750e-02
1.800819918008199072e-01,1.407389140129089355e+01
2.517223358154296875e-01,1.590728759765625000e-03
3.561368083346442281e-01,4.156351089477539062e-03
3.566570431848704592e-01,3.988742828369140625e-03
5.386461353864613333e-01,3.600978851318359375e-01
5.280471952804719482e-01,1.234149932861328125e-02
5.462453754624537750e-01,1.389329338073730469e+01
5.880985260009765625e-01,9.355545043945312500e-04
5.302913756611039586e-01,4.069805145263671875e-03
5.447636535791179346e-01,3.997802734375000000e-03
8.087191280871912635e-01,3.572523593902587891e-01
8.133186681331866508e-01,1.200079917907714844e-02
7.768223177682231917e-01,2.080532813072204590e+01
7.482776641845703125e-01,9.036064147949218750e-04
7.820394139357202956e-01,4.064559936523437500e-03
7.861151167445317167e-01,3.971338272094726562e-03
3.001699830016998360e-01,3.593828678131103516e-01
3.062693730626937505e-01,1.203870773315429688e-02
3.265673432656734376e-01,1.377791571617126465e+01
7.482776641845703125e-01,1.003026962280273438e-03
4.309230075974601060e-01,4.330635070800781250e-03
2.566798335859794555e-01,3.991603851318359375e-03
1.527847215278472226e-01,3.648884296417236328e-01
1.577842215778422208e-01,1.202225685119628906e-02
4.587541245875412232e-01,1.417635416984558105e+01
2.517223358154296875e-01,1.584529876708984375e-03
2.130624467444095504e-01,4.142045974731445312e-03
1.679874729672396483e-01,3.998041152954101562e-03
1.535846415358464168e-01,3.565366268157958984e-01
1.624837516248375247e-01,1.244497299194335938e-02
3.505649435056494290e-01,1.393451499938964844e+01
5.880985260009765625e-01,9.150505065917968750e-04
2.715277339100033438e-01,4.042625427246093750e-03
1.198475244889837255e-01,4.047393798828125000e-03
6.080391960803919194e-01,4.363193511962890625e-01
6.032396760323968099e-01,1.584148406982421875e-02
5.812418758124187068e-01,1.475443434715270996e+01
5.880985260009765625e-01,9.303092956542968750e-04
5.919124889216135221e-01,4.092931747436523438e-03
5.409115272657487594e-01,3.975868225097656250e-03
7.219278072192780726e-01,3.885300159454345703e-01
7.419258074192580654e-01,1.338338851928710938e-02
6.682331766823317309e-01,1.403692173957824707e+01
2.517223358154296875e-01,9.160041809082031250e-04
6.922540656461738662e-01,4.093170166015625000e-03
7.102257928346524807e-01,3.980159759521484375e-03
7.168283171682832133e-01,3.593559265136718750e-01
7.181281871812819073e-01,1.194882392883300781e-02
7.847215278472152722e-01,1.397131323814392090e+01
5.880985260009765625e-01,1.612186431884765625e-03
6.928559831879239628e-01,4.173278808593750000e-03
7.233483408833688566e-01,3.936052322387695312e-03
8.407159284071592520e-01,3.638596534729003906e-01
8.438156184381562230e-01,1.237225532531738281e-02
8.333166683331666436e-01,1.403039216995239258e+01
9.423408508300781250e-01,9.572505950927734375e-04
7.513379856161895853e-01,4.115104675292968750e-03
8.341145317494357281e-01,3.972291946411132812e-03
