p_value,timing
7.041295870412959124e-01,3.708117008209228516e-01
7.052294770522947731e-01,1.320505142211914062e-02
7.564243575642435324e-01,1.429288029670715332e+01
5.880985260009765625e-01,3.017663955688476562e-03
6.621503642104062948e-01,4.361391067504882812e-03
6.671499432920735551e-01,4.021406173706054688e-03
2.296770322967703337e-01,3.617172241210937500e-01
2.511748825117487982e-01,1.288151741027832031e-02
1.715828417158284103e-01,1.465559363365173340e+01
5.765914916992187500e-02,2.714395523071289062e-03
2.849945438443522994e-01,4.295825958251953125e-03
2.446565161550239287e-01,4.050970077514648438e-03
7.009299070092990525e-02,3.569905757904052734e-01
6.569343065693430961e-02,1.286363601684570312e-02
9.959004099590040848e-02,1.454891848564147949e+01
1.315879821777343750e-01,2.643108367919921875e-03
1.293116761554203853e-01,4.256963729858398438e-03
6.927646846915833101e-02,4.066705703735351562e-03
8.550144985501449968e-01,3.589849472045898438e-01
8.372162783721628365e-01,1.279830932617187500e-02
8.262173782621737850e-01,1.539895558357238770e+01
9.423408508300781250e-01,2.640008926391601562e-03
6.003658140246679320e-01,4.283905029296875000e-03
8.152438008101625666e-01,8.061885833740234375e-03
3.883611638836116375e-01,3.686003684997558594e-01
3.775622437756224192e-01,1.284766197204589844e-02
1.897810218978102093e-01,1.922967791557312012e+01
2.517223358154296875e-01,1.787185668945312500e-03
4.081376349578162976e-01,4.076957702636718750e-03
3.676056495300247251e-01,1.600527763366699219e-02
5.479452054794520244e-01,6.967887878417968750e-01
5.297470252974701976e-01,2.423691749572753906e-02
5.556444355564443827e-01,2.314115047454833984e+01
7.482776641845703125e-01,2.660512924194335938e-03
4.918779157786689615e-01,4.232645034790039062e-03
5.232652808146435186e-01,4.053115844726562500e-03
8.074192580741925696e-01,3.959102630615234375e-01
8.116188381161884013e-01,2.076077461242675781e-02
7.820217978202179676e-01,1.997692942619323730e+01
5.880985260009765625e-01,1.760721206665039062e-03
7.751592183730009467e-01,4.362106323242187500e-03
8.441083964854199095e-01,4.564046859741210938e-03
2.942705729427057548e-01,5.614824295043945312e-01
3.062693730626937505e-01,1.410746574401855469e-02
3.373662633736626559e-01,2.250154423713684082e+01
4.119014739990234375e-01,1.765727996826171875e-03
4.190068292720880438e-01,1.208972930908203125e-02
2.869196763400413963e-01,4.033088684082031250e-03
1.529847015298470281e-01,5.462865829467773438e-01
1.597840215978402201e-01,1.226067543029785156e-02
4.547545245475452247e-01,2.031361842155456543e+01
4.119014739990234375e-01,1.067113876342773438e-02
1.770250303738676312e-01,4.266738891601562500e-03
1.211700442069006400e-01,1.208519935607910156e-02
1.607839216078392197e-01,4.644000530242919922e-01
1.623837616238376080e-01,1.272606849670410156e-02
3.378662133786621280e-01,2.047238016128540039e+01
4.119014739990234375e-01,1.763820648193359375e-03
2.244613908964782634e-01,4.094123840332031250e-03
1.358672189355040194e-01,3.984689712524414062e-03
6.014398560143985328e-01,6.987655162811279297e-01
6.140385961403859172e-01,2.827405929565429688e-02
5.826417358264173174e-01,2.177379393577575684e+01
5.880985260009765625e-01,1.733303070068359375e-03
5.781110060983797316e-01,4.061222076416015625e-03
5.363385312746175027e-01,4.029273986816406250e-03
7.247275272472752938e-01,4.779367446899414062e-01
