p_value,timing
1.000000000000000000e+00,4.404330253601074219e+00
1.000000000000000000e+00,1.150405406951904297e-01
1.000000000000000000e+00,1.605053257942199707e+01
9.271822727985086221e-01,7.857751846313476562e-02
5.000000000000000000e-01,8.742570877075195312e-02
5.000000000000000000e-01,8.822083473205566406e-02
9.999000099990001543e-05,1.973759889602661133e+00
9.999000099990001543e-05,1.142325401306152344e-01
9.999000099990001543e-05,1.558579921722412109e+01
9.155828206487554564e-05,7.787418365478515625e-02
3.590202462358687055e-05,8.764362335205078125e-02
2.992650307550558119e-05,8.998775482177734375e-02
9.999000099990001543e-05,1.939489841461181641e+00
9.999000099990001543e-05,1.147983074188232422e-01
9.999000099990001543e-05,1.677536177635192871e+01
1.264555128233530115e-05,7.827448844909667969e-02
1.754731825581660165e-07,8.799719810485839844e-02
4.127856362918108750e-08,8.782148361206054688e-02
1.000000000000000000e+00,1.959088087081909180e+00
1.000000000000000000e+00,1.134760379791259766e-01
1.000000000000000000e+00,1.704936957359313965e+01
9.271822727985086221e-01,7.486391067504882812e-02
5.000000000000000000e-01,8.686470985412597656e-02
5.000000000000000000e-01,8.771276473999023438e-02
1.000000000000000000e+00,2.157864570617675781e+00
1.000000000000000000e+00,1.235923767089843750e-01
1.000000000000000000e+00,1.714349150657653809e+01
9.271822727985086221e-01,1.262784004211425781e-01
5.000000000000000000e-01,1.030621528625488281e-01
5.000000000000000000e-01,8.747243881225585938e-02
1.000000000000000000e+00,1.954095363616943359e+00
1.000000000000000000e+00,1.136569976806640625e-01
1.000000000000000000e+00,1.567499637603759766e+01
9.271822727985086221e-01,7.458233833312988281e-02
5.000000000000000000e-01,1.638996601104736328e-01
5.000000000000000000e-01,1.721842288970947266e-01
1.000000000000000000e+00,2.193953037261962891e+00
1.000000000000000000e+00,1.134951114654541016e-01
1.000000000000000000e+00,1.643590879440307617e+01
9.271822727985086221e-01,7.517910003662109375e-02
5.000000000000000000e-01,8.732652664184570312e-02
5.000000000000000000e-01,8.769822120666503906e-02
6.244375562443755801e-01,2.108484745025634766e+00
6.412358764123587962e-01,1.135017871856689453e-01
6.435356464353564343e-01,1.676896572113037109e+01
2.882153130941965680e-01,7.758140563964843750e-02
5.446619539222965489e-01,8.660078048706054688e-02
5.724240939723008736e-01,8.808827400207519531e-02
1.000000000000000000e+00,1.942544937133789062e+00
1.000000000000000000e+00,1.135475635528564453e-01
1.000000000000000000e+00,1.671621322631835938e+01
9.271822727985086221e-01,7.494211196899414062e-02
5.000000000000000000e-01,8.702588081359863281e-02
5.000000000000000000e-01,8.771181106567382812e-02
1.000000000000000000e+00,2.008937120437622070e+00
1.000000000000000000e+00,1.145818233489990234e-01
1.000000000000000000e+00,1.642799973487854004e+01
9.271822727985086221e-01,7.450151443481445312e-02
5.000000000000000000e-01,8.682847023010253906e-02
5.000000000000000000e-01,8.745408058166503906e-02
1.000000000000000000e+00,2.036223888397216797e+00
1.000000000000000000e+00,1.135551929473876953e-01
1.000000000000000000e+00,1.656629443168640137e+01
9.271822727985086221e-01,7.471513748168945312e-02
5.000000000000000000e-01,8.678579330444335938e-02
5.000000000000000000e-01,8.766269683837890625e-02
1.000000000000000000e+00,1.939860820770263672e+00
1.000000000000000000e+00,1.132926940917968750e-01
1.000000000000000000e+00,1.604443955421447754e+01
9.271822727985086221e-01,7.794547080993652344e-02
5.000000000000000000e-01,8.665013313293457031e-02
5.000000000000000000e-01,8.761429786682128906e-02
1.000000000000000000e+00,1.975871801376342773e+00
1.000000000000000000e+00,1.140887737274169922e-01
1.000000000000000000e+00,1.625844478607177734e+01
9.271822727985086221e-01,7.467174530029296875e-02
5.000000000000000000e-01,8.694076538085937500e-02
5.000000000000000000e-01,1.316423416137695312e-01
1.000000000000000000e+00,2.322142124176025391e+00
1.000000000000000000e+00,1.131875514984130859e-01
1.000000000000000000e+00,1.793928432464599609e+01
9.271822727985086221e-01,7.471561431884765625e-02
5.000000000000000000e-01,8.657622337341308594e-02
5.000000000000000000e-01,8.739709854125976562e-02
1.000000000000000000e+00,1.961693763732910156e+00
1.000000000000000000e+00,1.141726970672607422e-01
1.000000000000000000e+00,1.618501353263854980e+01
9.271822727985086221e-01,7.824277877807617188e-02
5.000000000000000000e-01,8.691620826721191406e-02
5.000000000000000000e-01,8.746695518493652344e-02
1.000000000000000000e+00,1.936546087265014648e+00
1.000000000000000000e+00,1.133277416229248047e-01
1.000000000000000000e+00,1.759103250503540039e+01
9.271822727985086221e-01,7.803535461425781250e-02
5.000000000000000000e-01,8.696508407592773438e-02
5.000000000000000000e-01,8.772945404052734375e-02
3.039696030396960569e-01,1.947873353958129883e+00
3.018698130186981410e-01,1.163825988769531250e-01
2.105789421057894240e-01,1.652013707160949707e+01
4.555360606130465229e-01,7.783055305480957031e-02
3.655191554188882419e-01,8.677124977111816406e-02
2.778888870094433639e-01,8.761548995971679688e-02
1.000000000000000000e+00,1.939503908157348633e+00
1.000000000000000000e+00,1.137795448303222656e-01
1.000000000000000000e+00,1.743885326385498047e+01
9.271822727985086221e-01,7.410407066345214844e-02
5.000000000000000000e-01,8.683657646179199219e-02
5.000000000000000000e-01,8.764553070068359375e-02
1.000000000000000000e+00,1.973682165145874023e+00
1.000000000000000000e+00,1.137251853942871094e-01
1.000000000000000000e+00,1.655345463752746582e+01
9.271822727985086221e-01,7.914733886718750000e-02
5.000000000000000000e-01,8.678197860717773438e-02
5.000000000000000000e-01,8.820939064025878906e-02
1.000000000000000000e+00,1.999668359756469727e+00
1.000000000000000000e+00,1.140277385711669922e-01
1.000000000000000000e+00,1.673229837417602539e+01
9.271822727985086221e-01,7.459521293640136719e-02
5.000000000000000000e-01,8.760976791381835938e-02
5.000000000000000000e-01,8.953833580017089844e-02
1.000000000000000000e+00,1.986285924911499023e+00
1.000000000000000000e+00,1.972780227661132812e-01
1.000000000000000000e+00,1.624237704277038574e+01
9.271822727985086221e-01,7.479333877563476562e-02
5.000000000000000000e-01,8.704185485839843750e-02
5.000000000000000000e-01,8.755207061767578125e-02
1.000000000000000000e+00,1.962555885314941406e+00
1.000000000000000000e+00,1.131269931793212891e-01
1.000000000000000000e+00,1.686254882812500000e+01
