p_value,timing
7.181281871812819073e-01,5.760085582733154297e-01
6.969303069693030261e-01,3.074645996093750000e-02
6.248375162483751355e-01,1.438531327247619629e+01
5.626853438097896287e-01,1.931428909301757812e-03
6.952368732651474925e-01,4.493474960327148438e-03
7.784832865788053891e-01,4.211664199829101562e-03
2.199780021997800421e-03,3.721599578857421875e-01
3.199680031996800494e-03,2.343845367431640625e-02
6.999300069993000945e-03,1.419262552261352539e+01
3.213288047845708206e-03,1.755714416503906250e-03
5.329374128399207503e-03,4.357099533081054688e-03
4.775368756535656491e-03,4.194498062133789062e-03
1.429857014298570143e-02,3.736996650695800781e-01
2.029797020297970100e-02,2.353715896606445312e-02
5.499450054994500618e-03,1.421609783172607422e+01
8.294501687487354502e-03,1.005887985229492188e-03
3.530500057867550640e-02,4.174470901489257812e-03
2.464858937265948513e-02,4.122734069824218750e-03
7.419258074192580654e-02,3.666281700134277344e-01
7.749225077492251368e-02,2.283692359924316406e-02
6.379362063793621307e-02,1.408779144287109375e+01
1.340936255273845745e-01,9.837150573730468750e-04
1.955870885812058257e-01,4.428386688232421875e-03
5.143781666770304989e-02,4.108905792236328125e-03
6.216378362163783589e-01,3.742926120758056641e-01
6.186381361863814154e-01,2.234387397766113281e-02
7.531246875312468392e-01,1.437832546234130859e+01
7.852047460783069255e-01,1.708984375000000000e-03
5.770934306989479179e-01,4.342555999755859375e-03
5.603263876451813896e-01,4.194498062133789062e-03
8.117188281171883180e-01,3.727893829345703125e-01
8.114188581141885681e-01,2.343845367431640625e-02
7.380261973802619835e-01,1.411660718917846680e+01
9.230700279185839463e-01,9.660720825195312500e-04
6.956290446489801216e-01,4.162549972534179688e-03
8.294593310738807013e-01,4.129648208618164062e-03
7.332266773322667630e-01,3.732690811157226562e-01
7.303269673032696252e-01,2.290153503417968750e-02
6.299370062993701058e-01,1.458258008956909180e+01
7.852047460783069255e-01,9.770393371582031250e-04
6.799467751401225835e-01,4.142522811889648438e-03
7.294127285485501044e-01,4.132509231567382812e-03
4.488551144885511435e-01,3.831474781036376953e-01
4.944505549445055714e-01,2.346682548522949219e-02
5.589441055894410759e-01,1.415936994552612305e+01
7.852047460783069255e-01,9.686946868896484375e-04
4.993106376725373607e-01,4.133701324462890625e-03
4.484496915189593591e-01,4.105091094970703125e-03
2.790720927907209270e-01,3.667349815368652344e-01
2.763723627637236224e-01,2.275347709655761719e-02
1.848815118488151277e-01,1.423735213279724121e+01
2.147952539216930745e-01,1.684665679931640625e-03
2.761801234415763862e-01,4.334211349487304688e-03
2.780882150289208932e-01,4.150390625000000000e-03
5.735426457354264596e-01,3.726251125335693359e-01
5.699430056994300164e-01,2.337288856506347656e-02
4.984501549845015700e-01,1.399460291862487793e+01
2.147952539216930745e-01,1.000642776489257812e-03
6.012131694534017523e-01,4.168272018432617188e-03
5.922280998418693043e-01,4.111051559448242188e-03
1.580841915808419151e-01,3.695418834686279297e-01
1.666833316668333287e-01,2.270102500915527344e-02
2.616738326167383222e-01,1.386585736274719238e+01
3.179140013144206023e-01,9.829998016357421875e-04
4.583644360405130236e-01,4.153013229370117188e-03
1.408161434111260824e-01,4.155397415161132812e-03
7.279272072792720982e-02,3.747088909149169922e-01
7.569243075692430600e-02,2.276420593261718750e-02
4.719528047195280240e-02,1.474434471130371094e+01
3.179140013144206023e-01,9.722709655761718750e-04
1.758613121174376070e-01,4.216670989990234375e-03
1.134429868574337585e-01,4.128932952880859375e-03
9.859014098590140884e-02,3.717687129974365234e-01
1.025897410258974074e-01,2.262210845947265625e-02
9.449055094490550755e-02,1.384893131256103516e+01
7.852047460783069255e-01,1.681566238403320312e-03
4.267937272797058812e-01,4.319429397583007812e-03
8.887805051100866605e-02,4.083395004272460938e-03
9.864013598640135605e-01,3.718321323394775391e-01
9.877012298770122545e-01,2.333235740661621094e-02
9.814018598140186178e-01,2.033304190635681152e+01
9.967867119521542918e-01,1.345634460449218750e-03
5.252220610214675123e-01,6.462812423706054688e-03
9.810976193738160100e-01,6.210088729858398438e-03
4.973502649735026537e-01,5.630383491516113281e-01
5.237476252374761998e-01,2.990460395812988281e-02
4.571542845715428349e-01,1.980784821510314941e+01
4.034523387599620037e-02,9.448528289794921875e-04
4.693918639563863238e-01,4.042387008666992188e-03
5.689646338394460656e-01,3.998517990112304688e-03
5.696430356964303776e-01,3.698453903198242188e-01
5.584441555844416039e-01,2.278256416320800781e-02
4.835516448355164365e-01,1.414174294471740723e+01
9.230700279185839463e-01,1.667022705078125000e-03
6.207780345757456519e-01,4.291057586669921875e-03
5.251577386430176242e-01,4.061698913574218750e-03
2.769723027697230111e-01,3.948709964752197266e-01
2.801719828017198433e-01,2.331876754760742188e-02
4.626537346265373607e-01,1.549432206153869629e+01
2.147952539216930745e-01,9.875297546386718750e-04
3.240089552495320491e-01,4.210710525512695312e-03
3.298709576988123615e-01,4.144191741943359375e-03
2.529747025297470198e-01,5.422828197479248047e-01
2.851714828517148415e-01,2.992486953735351562e-02
2.516748325167483258e-01,1.446771383285522461e+01
2.147952539216930745e-01,9.529590606689453125e-04
2.824941183195853744e-01,4.162311553955078125e-03
2.999371584759027431e-01,4.126310348510742188e-03
3.801619838016198627e-01,3.731939792633056641e-01
3.918608139186081640e-01,2.271604537963867188e-02
