p_value,timing
4.119014739990234375e-01,2.104282379150390625e-03
8.997557889670133591e-01,1.210212707519531250e-03
4.373146561902103713e-01,1.168012619018554688e-03
6.640944831173172247e-01,1.143932342529296875e-03
3.494417138100028852e-01,1.144647598266601562e-03
5.444639393869534771e-01,1.172542572021484375e-03
1.356265120369176957e-01,1.112461090087890625e-03
2.069473266601562500e-02,1.158714294433593750e-03
2.138697262853384712e-02,1.122951507568359375e-03
1.923865414210013114e-02,1.117706298828125000e-03
3.300223983405459194e-03,1.108884811401367188e-03
6.725704046424765825e-05,1.124382019042968750e-03
1.162270644044352107e-03,1.120567321777343750e-03
6.660530960360692976e-02,1.117229461669921875e-03
2.517223358154296875e-01,1.060724258422851562e-03
2.923323558643460829e-01,1.099824905395507812e-03
5.626853438097896287e-01,1.067399978637695312e-03
3.359055168826827753e-01,1.074552536010742188e-03
1.367006693403896751e-02,1.077890396118164062e-03
2.833221317256057192e-02,1.106739044189453125e-03
6.913502932053738892e-01,1.082897186279296875e-03
7.482776641845703125e-01,1.039505004882812500e-03
1.807973040267825682e-01,1.078844070434570312e-03
5.626853438097896287e-01,1.162290573120117188e-03
4.438624136703914758e-01,1.103162765502929688e-03
9.537695094635381121e-01,1.102924346923828125e-03
7.281772720149135014e-02,1.135826110839843750e-03
8.158991913366521187e-01,1.128911972045898438e-03
5.880985260009765625e-01,1.061439514160156250e-03
9.506314266473054886e-01,1.096725463867187500e-03
8.659063744726154255e-01,1.138925552368164062e-03
8.388818398212265492e-01,1.117706298828125000e-03
6.505582861899971148e-01,1.105546951293945312e-03
2.882153130941965680e-01,1.129150390625000000e-03
6.178232827986664955e-01,1.081705093383789062e-03
5.880985260009765625e-01,1.035928726196289062e-03
4.277677759528160650e-01,1.069307327270507812e-03
5.626853438097896287e-01,1.088857650756835938e-03
1.013193755322703282e-01,1.062870025634765625e-03
6.744646865595929977e-03,1.073122024536132812e-03
1.092590197393518703e-01,1.229047775268554688e-03
6.913502932053738892e-01,1.088857650756835938e-03
9.423408508300781250e-01,1.046180725097656250e-03
9.786130273714661598e-01,1.065731048583984375e-03
4.373146561902103713e-01,1.084566116333007812e-03
9.405397737202818575e-01,1.106739044189453125e-03
3.494417138100028852e-01,1.102447509765625000e-03
1.571532899319685317e-01,1.108407974243164062e-03
1.841008086633478813e-01,1.126050949096679688e-03
4.119014739990234375e-01,1.086711883544921875e-03
7.076676441356539726e-01,1.099109649658203125e-03
5.626853438097896287e-01,1.100301742553710938e-03
8.388818398212265492e-01,1.132726669311523438e-03
1.225304165114728533e-01,1.111268997192382812e-03
6.312228455078386924e-01,1.116275787353515625e-03
4.602053813064105325e-01,1.152992248535156250e-03
5.880985260009765625e-01,1.045465469360351562e-03
1.002442110329866687e-01,1.079797744750976562e-03
4.373146561902103713e-01,1.076459884643554688e-03
9.405397737202818575e-01,1.116514205932617188e-03
8.774695834885271051e-01,1.077413558959960938e-03
6.312228455078386924e-01,1.096010208129882812e-03
6.913502932053738892e-01,1.084327697753906250e-03
1.315879821777343750e-01,1.062631607055664062e-03
4.936857335269452529e-02,1.078128814697265625e-03
4.034523387599620037e-02,1.071929931640625000e-03
1.641956878213424176e-02,1.102685928344726562e-03
1.831470033516455209e-01,1.109600067138671875e-03
8.907409802606480742e-01,1.115322113037109375e-03
2.844396682049039199e-02,1.114606857299804688e-03
5.880985260009765625e-01,1.102209091186523438e-03
4.277677759528160650e-01,1.120567321777343750e-03
4.034523387599620037e-02,1.096487045288085938e-03
