p_value,timing
4.119014739990234375e-01,3.462076187133789062e-03
8.997557889670133591e-01,1.940488815307617188e-03
4.373146561902103713e-01,1.810073852539062500e-03
6.640944831173172247e-01,1.816034317016601562e-03
3.494417138100028852e-01,9.949207305908203125e-04
5.444639393869534771e-01,9.124279022216796875e-04
1.356265120369176957e-01,1.044511795043945312e-03
2.069473266601562500e-02,1.020193099975585938e-03
2.138697262853384712e-02,8.580684661865234375e-04
1.923865414210013114e-02,8.232593536376953125e-04
3.300223983405459194e-03,8.261203765869140625e-04
6.725704046424765825e-05,1.189470291137695312e-03
1.162270644044352107e-03,9.589195251464843750e-04
6.660530960360692976e-02,9.734630584716796875e-04
2.517223358154296875e-01,8.459091186523437500e-04
2.923323558643460829e-01,1.127719879150390625e-03
5.626853438097896287e-01,8.752346038818359375e-04
3.359055168826827753e-01,8.285045623779296875e-04
1.367006693403896751e-02,8.244514465332031250e-04
2.833221317256057192e-02,1.015663146972656250e-03
6.913502932053738892e-01,1.058578491210937500e-03
7.482776641845703125e-01,9.388923645019531250e-04
1.807973040267825682e-01,9.763240814208984375e-04
5.626853438097896287e-01,9.915828704833984375e-04
4.438624136703914758e-01,9.908676147460937500e-04
9.537695094635381121e-01,9.882450103759765625e-04
7.281772720149135014e-02,1.013278961181640625e-03
8.158991913366521187e-01,1.025199890136718750e-03
5.880985260009765625e-01,9.274482727050781250e-04
9.506314266473054886e-01,9.760856628417968750e-04
8.659063744726154255e-01,9.875297546386718750e-04
8.388818398212265492e-01,9.937286376953125000e-04
6.505582861899971148e-01,9.415149688720703125e-04
2.882153130941965680e-01,9.827613830566406250e-04
6.178232827986664955e-01,9.567737579345703125e-04
5.880985260009765625e-01,8.544921875000000000e-04
4.277677759528160650e-01,8.115768432617187500e-04
5.626853438097896287e-01,8.144378662109375000e-04
1.013193755322703282e-01,8.306503295898437500e-04
6.744646865595929977e-03,8.320808410644531250e-04
1.092590197393518703e-01,1.005172729492187500e-03
6.913502932053738892e-01,8.873939514160156250e-04
9.423408508300781250e-01,8.449554443359375000e-04
9.786130273714661598e-01,8.094310760498046875e-04
4.373146561902103713e-01,8.156299591064453125e-04
9.405397737202818575e-01,1.006364822387695312e-03
3.494417138100028852e-01,8.893013000488281250e-04
1.571532899319685317e-01,8.397102355957031250e-04
1.841008086633478813e-01,9.255409240722656250e-04
4.119014739990234375e-01,8.528232574462890625e-04
7.076676441356539726e-01,8.161067962646484375e-04
5.626853438097896287e-01,8.172988891601562500e-04
8.388818398212265492e-01,8.292198181152343750e-04
1.225304165114728533e-01,8.268356323242187500e-04
6.312228455078386924e-01,9.648799896240234375e-04
