p_value,timing
2.517223358154296875e-01,3.376960754394531250e-03
9.786130273714661598e-01,2.173423767089843750e-03
4.373146561902103713e-01,2.129316329956054688e-03
4.438624136703914758e-01,1.624345779418945312e-03
1.831470033516455209e-01,1.131534576416015625e-03
6.312228455078386924e-01,1.098394393920898438e-03
6.913502932053738892e-01,1.112461090087890625e-03
1.288414001464843750e-03,1.036882400512695312e-03
8.062400855123998469e-03,1.025915145874023438e-03
3.397741274966392666e-04,1.037836074829101562e-03
4.681114554259124816e-04,1.064062118530273438e-03
6.744646865595929977e-03,1.066923141479492188e-03
3.505286989959981159e-05,1.080274581909179688e-03
8.643734879630823320e-01,1.102447509765625000e-03
7.482776641845703125e-01,1.021385192871093750e-03
5.722322240471839905e-01,1.021862030029296875e-03
8.294501687487354502e-03,1.029729843139648438e-03
4.681114554259124816e-04,1.059055328369140625e-03
2.594694796446071761e-02,1.069068908691406250e-03
4.645594111027311068e-02,1.075506210327148438e-03
1.048936783892586051e-02,1.090288162231445312e-03
2.517223358154296875e-01,1.024484634399414062e-03
5.722322240471839905e-01,1.116037368774414062e-03
8.294501687487354502e-03,1.044750213623046875e-03
1.013193755322703282e-01,1.050949096679687500e-03
8.168529966483544236e-01,1.069307327270507812e-03
6.312228455078386924e-01,1.076698303222656250e-03
3.821767172013334490e-01,1.092433929443359375e-03
7.482776641845703125e-01,1.017093658447265625e-03
1.002442110329866687e-01,1.036405563354492188e-03
5.626853438097896287e-01,1.034498214721679688e-03
5.561375863296085242e-01,1.040220260620117188e-03
1.831470033516455209e-01,1.050472259521484375e-03
6.312228455078386924e-01,1.077175140380859375e-03
2.420592068036457323e-01,1.092433929443359375e-03
1.315879821777343750e-01,1.006841659545898438e-03
1.002442110329866687e-01,1.029253005981445312e-03
2.147952539216930745e-01,1.031398773193359375e-03
3.359055168826827753e-01,1.049041748046875000e-03
7.750095200163030495e-02,1.054763793945312500e-03
5.444639393869534771e-01,1.081466674804687500e-03
2.420592068036457323e-01,1.085758209228515625e-03
4.119014739990234375e-01,1.009225845336914062e-03
1.807973040267825682e-01,1.025199890136718750e-03
3.179140013144206023e-01,1.049041748046875000e-03
3.359055168826827753e-01,1.039743423461914062e-03
4.623049053646186707e-02,1.055717468261718750e-03
9.158048758458159355e-03,1.066684722900390625e-03
6.178232827986664955e-01,1.102685928344726562e-03
4.119014739990234375e-01,1.007795333862304688e-03
2.923323558643460829e-01,1.034259796142578125e-03
9.596547661240037996e-01,1.029491424560546875e-03
2.399438308491639305e-01,1.055717468261718750e-03
7.405209984051740468e-01,1.050949096679687500e-03
4.555360606130465229e-01,1.074314117431640625e-03
3.821767172013334490e-01,1.102924346923828125e-03
2.517223358154296875e-01,1.011133193969726562e-03
4.936857335269452529e-02,1.030683517456054688e-03
6.820859986855793977e-01,1.033306121826171875e-03
8.388818398212265492e-01,1.067161560058593750e-03
3.494417138100028852e-01,1.057386398315429688e-03
1.092590197393518703e-01,1.072406768798828125e-03
5.397946186935894675e-01,1.091718673706054688e-03
2.069473266601562500e-02,1.019001007080078125e-03
4.277677759528160650e-01,1.028776168823242188e-03
1.923865414210013114e-02,1.033782958984375000e-03
1.641956878213424176e-02,1.071214675903320312e-03
1.225304165114728533e-01,1.060485839843750000e-03
1.571532899319685317e-01,1.069545745849609375e-03
3.318560257963064017e-03,1.096487045288085938e-03
8.684120178222656250e-01,1.031160354614257812e-03
4.277677759528160650e-01,1.037597656250000000e-03
2.147952539216930745e-01,1.041650772094726562e-03
4.438624136703914758e-01,1.059770584106445312e-03
9.537695094635381121e-01,1.058101654052734375e-03
8.428467100680314683e-01,1.069784164428710938e-03
3.821767172013334490e-01,1.096010208129882812e-03
1.315879821777343750e-01,1.034021377563476562e-03
8.062400855123998469e-03,1.027345657348632812e-03
1.340936255273845745e-01,1.029253005981445312e-03
7.673338916315053382e-03,1.049280166625976562e-03
4.623049053646186707e-02,1.072406768798828125e-03
3.687771544921613076e-01,1.085996627807617188e-03
1.841008086633478813e-01,1.095294952392578125e-03
5.765914916992187500e-02,1.018524169921875000e-03
1.807973040267825682e-01,1.025915145874023438e-03
7.692997208141605370e-02,1.043081283569335938e-03
5.946022627971814245e-02,1.047372817993164062e-03
4.623049053646186707e-02,1.075029373168945312e-03
1.571532899319685317e-01,1.149654388427734375e-03
1.048936783892586051e-02,1.164436340332031250e-03
8.684120178222656250e-01,1.082897186279296875e-03
7.076676441356539726e-01,1.106739044189453125e-03
3.179140013144206023e-01,1.102447509765625000e-03
3.359055168826827753e-01,1.047372817993164062e-03
2.594790015948259532e-01,1.069545745849609375e-03
8.428467100680314683e-01,1.071214675903320312e-03
5.397946186935894675e-01,1.095294952392578125e-03
4.119014739990234375e-01,1.018285751342773438e-03
2.923323558643460829e-01,1.039028167724609375e-03
8.659063744726154255e-01,1.036643981933593750e-03
7.600561691508360695e-01,1.056909561157226562e-03
5.512890865042846533e-01,1.051187515258789062e-03
4.841424961528785834e-03,1.082420349121093750e-03
4.602053813064105325e-01,1.094818115234375000e-03
2.517223358154296875e-01,1.009941101074218750e-03
2.923323558643460829e-01,1.020908355712890625e-03
2.147952539216930745e-01,1.051664352416992188e-03
1.611181601787734508e-01,1.056432723999023438e-03
5.512890865042846533e-01,1.063108444213867188e-03
1.571532899319685317e-01,1.073837280273437500e-03
4.602053813064105325e-01,1.104593276977539062e-03
4.119014739990234375e-01,1.011610031127929688e-03
8.192026959732174873e-01,1.030206680297851562e-03
6.820859986855793977e-01,1.046657562255859375e-03
1.013193755322703282e-01,1.057147979736328125e-03
1.831470033516455209e-01,1.057386398315429688e-03
9.835036907867619194e-01,1.066446304321289062e-03
3.086497067946260553e-01,1.104354858398437500e-03
8.684120178222656250e-01,1.008510589599609375e-03
1.002442110329866687e-01,1.041412353515625000e-03
3.179140013144206023e-01,1.038074493408203125e-03
7.600561691508360695e-01,1.128673553466796875e-03
4.487109134957153467e-01,1.125812530517578125e-03
1.092590197393518703e-01,1.147508621215820312e-03
3.821767172013334490e-01,1.179456710815429688e-03
7.482776641845703125e-01,1.063585281372070312e-03
7.076676441356539726e-01,1.027107238769531250e-03
4.373146561902103713e-01,1.038789749145507812e-03
4.438624136703914758e-01,1.062870025634765625e-03
5.512890865042846533e-01,1.057386398315429688e-03
9.535440588897269309e-01,1.088857650756835938e-03
9.667395224782139584e-02,1.095771789550781250e-03
5.880985260009765625e-01,1.024484634399414062e-03
2.923323558643460829e-01,1.030445098876953125e-03
6.820859986855793977e-01,1.106023788452148438e-03
2.399438308491639305e-01,1.126527786254882812e-03
1.831470033516455209e-01,1.138687133789062500e-03
7.829788723272605999e-01,1.070022583007812500e-03
6.913502932053738892e-01,1.095771789550781250e-03
7.482776641845703125e-01,1.033306121826171875e-03
5.722322240471839905e-01,1.024961471557617188e-03
2.147952539216930745e-01,1.039743423461914062e-03
1.611181601787734508e-01,1.073122024536132812e-03
3.494417138100028852e-01,1.064062118530273438e-03
3.687771544921613076e-01,1.070737838745117188e-03
3.086497067946260553e-01,1.089096069335937500e-03
2.517223358154296875e-01,1.020669937133789062e-03
4.936857335269452529e-02,1.030445098876953125e-03
3.213288047845708206e-03,1.922130584716796875e-03
1.529320008017975852e-04,1.069784164428710938e-03
4.623049053646186707e-02,1.066207885742187500e-03
1.133070252233773134e-07,1.072883605957031250e-03
1.356265120369176957e-01,1.097202301025390625e-03
2.012252807617187500e-04,1.025676727294921875e-03
8.062400855123998469e-03,1.029014587402343750e-03
8.294501687487354502e-03,1.036882400512695312e-03
2.399438308491639305e-01,1.071691513061523438e-03
1.367006693403896751e-02,1.050233840942382812e-03
2.257586359574053920e-04,1.080989837646484375e-03
1.356265120369176957e-01,1.089811325073242188e-03
9.423408508300781250e-01,1.022815704345703125e-03
8.997557889670133591e-01,1.025438308715820312e-03
9.230700279185839463e-01,1.043558120727539062e-03
5.946022627971814245e-02,1.052141189575195312e-03
3.494417138100028852e-01,1.071691513061523438e-03
7.829788723272605999e-01,1.069545745849609375e-03
1.356265120369176957e-01,1.093149185180664062e-03
5.765914916992187500e-02,1.010179519653320312e-03
4.277677759528160650e-01,1.034975051879882812e-03
4.373146561902103713e-01,1.038312911987304688e-03
6.640944831173172247e-01,1.051425933837890625e-03
1.831470033516455209e-01,1.062870025634765625e-03
2.170211276727393723e-01,1.065492630004882812e-03
1.356265120369176957e-01,1.090288162231445312e-03
7.482776641845703125e-01,1.009464263916015625e-03
5.722322240471839905e-01,1.048803329467773438e-03
2.147952539216930745e-01,1.027822494506835938e-03
1.013193755322703282e-01,1.044273376464843750e-03
6.505582861899971148e-01,1.046180725097656250e-03
1.092590197393518703e-01,1.152515411376953125e-03
3.086497067946260553e-01,1.170873641967773438e-03
4.119014739990234375e-01,1.082420349121093750e-03
5.722322240471839905e-01,1.024723052978515625e-03
1.340936255273845745e-01,1.044034957885742188e-03
9.835804312178657582e-01,1.055479049682617188e-03
1.367006693403896751e-02,1.058578491210937500e-03
4.555360606130465229e-01,1.082181930541992188e-03
3.821767172013334490e-01,1.091480255126953125e-03
5.880985260009765625e-01,1.009225845336914062e-03
5.722322240471839905e-01,1.030683517456054688e-03
9.230700279185839463e-01,1.050949096679687500e-03
9.405397737202818575e-01,1.048088073730468750e-03
3.494417138100028852e-01,1.058340072631835938e-03
7.829788723272605999e-01,1.074075698852539062e-03
1.356265120369176957e-01,1.102685928344726562e-03
7.482776641845703125e-01,1.007795333862304688e-03
2.923323558643460829e-01,1.029729843139648438e-03
7.692997208141605370e-02,1.033067703247070312e-03
1.611181601787734508e-01,1.130580902099609375e-03
3.494417138100028852e-01,1.129627227783203125e-03
